"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient","allergy","hives","RH","TEMP","rain","WS_HR","WWIND","WIND","time"
2017-05-15,5.23506944444444,0.312569444444444,43.19375,19.7222222222222,43.5416666666667,12.2504419191919,1.77010732323232,5,1,4,70.7395833333333,28.4826388888889,0.115972222222222,1.50381944444444,1.85104166666667,1.85104166666667,87
2017-05-16,4.04756944444444,0.34375,15.2743055555556,14.5295893719807,35.1524758454106,15.4583333333333,4.59756944444444,13,9,4,83.3611111111111,26.0347222222222,1.00347222222222,1.30625,1.6625,1.6625,88
2017-05-17,4.29791666666667,0.381666666666667,43.0208333333333,15.3968253968254,35.6994047619048,16.4142361111111,2.13958333333333,1,0,1,75.1319444444444,25.8125,0.05625,1.33784722222222,1.73263888888889,1.73263888888889,89
2017-05-18,4.78166035353535,0.443667929292929,51.8150252525253,29.4116161616162,61.4674873737374,17.7721590909091,1.63775252525253,2,1,1,74.5274621212121,27.000946969697,0.0118055555555556,1.10719696969697,1.34387626262626,1.34387626262626,90
2017-05-19,3.80347222222222,0.477743055555556,39.6274305555556,32.2847222222222,65.0451388888889,17.7638888888889,1.96805555555556,8,3,5,77.8541666666667,26.2256944444444,0.150694444444444,1.13715277777778,1.64305555555556,1.64305555555556,91
2017-05-22,3.38645833333333,0.234756944444444,35.7847222222222,13.6458333333333,35.2534722222222,8.81527777777778,1.36076388888889,8,2,6,73.3923611111111,28.5763888888889,0,1.54270833333333,1.79270833333333,1.79270833333333,92
2017-05-23,3.49280823105194,0.221651158322354,29.6941417175184,12.7476851851852,33.5069444444444,9.65417421497585,2.00513761759471,9,2,7,73.6507119247394,29.0620471014493,0.000694444444444444,1.59329551233155,1.86819221967963,1.86819221967963,93
2017-05-24,3.2708648989899,0.250416666666667,17.4378156565657,8.29861111111111,23.8854166666667,10.2937229437229,3.14977217830479,3,1,2,81.5104166666667,28.2413194444444,0.551388888888889,1.49600694444444,1.88819444444444,1.88819444444444,94
2017-05-25,3.72326388888889,0.291284722222222,17.9850694444444,9.81461352657005,102.038586956522,12.7831370772947,3.63784722222222,9,7,2,83.7048611111111,27.2638888888889,2.44444444444444,1.39270833333333,1.69479166666667,1.69479166666667,95
2017-05-26,4.57569444444444,0.447048611111111,40.4451388888889,22.1508152173913,57.700634057971,16.8482638888889,2.46215277777778,9,3,6,74.53125,27.3090277777778,0.0173611111111111,1.22326388888889,1.54444444444444,1.54444444444444,96
2017-05-29,5.54756944444444,0.3646875,55.3819444444444,25.4305555555556,54.2083333333333,10.6680555555556,1.32430555555556,0,0,0,73.2291666666667,28.4375,0,1.36423611111111,1.66215277777778,1.66215277777778,97
